sku,ean,descricao,criado_em,atualizado_em
AL6013-1,7908713208030,PLASTIFICADORA LAMINADORA REFILADORA 220V - CÓD: AL6013-2 - MODELO: MA320(230E) - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6013-2,7908713208016,PLASTIFICADORA LAMINADORA REFILADORA 110V - CÓD: AL6013-2 - MODELO: MA320(230E) - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6014-B,7908713208009,MACA PORTATIL PROFISSIONAL - COR: PRETO - CÓD: AL6014-B - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6015-BL,7908713207972,ALMOFADA DE BANHO PARA BEBE - COR: AZUL - CÓD: AL6015-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6015-PK,7908713207965,ALMOFADA DE BANHO PARA BEBE - COR: ROSA - CÓD: AL6015-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6020-BL,7908713209600,BANHEIRA DESMONTAVEL EXTRA GRANDE AZUL - COD: AL6020-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6020-PK,7908713209617,BANHEIRA DESMONTAVEL EXTRA GRANDE ROSA - COD: AL6020-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6022-BL,7908713200607,ASSENTO REDUTOR INFANTIL - COR: AZUL - CÓD: AL6022-BL,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6022-MIX,7908713200614,ASSENTO REDUTOR INFANTIL COLORIDO - CÓD: 6022-MIX,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6022-PK,7908713200621,ASSENTO REDUTOR INFANTIL - COR: ROSA - CÓD: AL6022-PK,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6023-BL,7908713201024,TRONINHO SORRISO PARA DESFRALDE - COR: AZUL - TAMANHO:36X32X48CM - CÓD: AL6023-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6023-PK,7908713201031,TRONINHO SORRISO PARA DESFRALDE - COR: ROSA - TAMANHO:36X32X48CM - CÓD: AL6023-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6024-BL,7908713200119,TRONINHO COM ASSENTO REDUTOR - BRANCO/AZUL - CÓD: AL6024-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6024-PK,7908713200126,TRONINHO COM ASSENTO REDUTOR - BRANCO/ROSA - CÓD: AL6024-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6025-BL,7908713200157,TRONINHO INFANTIL VAQUINHA AZUL - COD: AL6025-BL - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
AL6025-PK,7908713209136,TRONINHO INFANTIL VAQUINHA ROSA - COD: AL6025-PK - MARCA: LORBEN,2026-03-12T09:59:23.662344,2026-03-12T09:59:23.662344
